indice,app_date
109.46,07/01/2017
108.91,04/01/2017
108.56,01/01/2017
108.40,10/01/2016
108.40,07/01/2016
108.41,04/01/2016
108.38,01/01/2016
108.38,10/01/2015
108.32,07/01/2015
108.47,04/01/2015
108.52,01/01/2015
108.50,10/01/2014
108.50,07/01/2014
108.46,04/01/2014
108.47,01/01/2014
108.50,10/01/2013
108.53,07/01/2013
108.34,04/01/2013
108.17,01/01/2013
107.65,10/01/2012
107.01,07/01/2012
106.28,04/01/2012
105.31,01/01/2012
104.44,10/01/2011
103.64,07/01/2011
102.92,04/01/2011
102.36,01/01/2011
101.83,10/01/2010
101.36,07/01/2010
101.07,04/01/2010
101.21,01/01/2010
102.05,10/01/2009
102.73,07/01/2009
103.01,04/01/2009
102.46,01/01/2009
101.20,10/01/2008
100.00,07/01/2008
98.90,04/01/2008
98.07,01/01/2008
97.45,10/01/2007
96.81,07/01/2007
